start,year,month,day,hour,rueckgaben_predict,rueckgaben_real,ausleihen_real,ausleihen_predicted,real_differenz,predicted_differenz,differenz_mape
2019-06-11 11:00:00,2019,6,11,11,11.528795,15,11,10.767758,-4,-0.761037,80.974075
2019-06-11 14:00:00,2019,6,11,14,18.380272,29,21,14.059189,-8,-4.321083000000002,45.98646249999998
2019-06-11 16:00:00,2019,6,11,16,30.452248,27,26,20.979485,-1,-9.472763,847.2763
2019-06-11 17:00:00,2019,6,11,17,53.357685,58,89,63.484608,31,10.126923000000005,67.33250645161289
2019-06-11 18:00:00,2019,6,11,18,63.772778,76,108,90.206276,32,26.433498,17.39531875
2019-06-11 20:00:00,2019,6,11,20,27.835346,22,33,30.507313,11,2.6719669999999986,75.70939090909093
2019-06-11 21:00:00,2019,6,11,21,11.872139,16,14,11.069959,-2,-0.8021799999999999,59.891000000000005
2019-06-12 06:00:00,2019,6,12,6,21.111603,24,6,8.370418,-18,-12.741184999999998,29.2156388888889
2019-06-12 07:00:00,2019,6,12,7,49.612476,44,21,21.521269,-23,-28.091207,22.135682608695657
2019-06-12 08:00:00,2019,6,12,8,75.62874,83,29,30.789322,-54,-44.839417999999995,16.96404074074075
2019-06-12 09:00:00,2019,6,12,9,39.893665,39,25,21.858679,-14,-18.034986,28.821328571428573
2019-06-12 17:00:00,2019,6,12,17,49.483875,59,69,51.882805,10,2.39893,76.0107
2019-06-12 18:00:00,2019,6,12,18,49.82545,71,117,67.69151,46,17.866059999999997,61.16073913043479
2019-06-12 19:00:00,2019,6,12,19,39.759464,51,68,47.341743,17,7.582279,55.39835882352941
2019-06-12 20:00:00,2019,6,12,20,22.018528,19,37,32.62362,18,10.605092000000003,41.08282222222221
2019-06-13 13:00:00,2019,6,13,13,11.956382,12,13,9.599383,1,-2.356999,335.6999
2019-06-13 14:00:00,2019,6,13,14,15.871717,12,16,20.149332,4,4.277615000000001,6.940375000000021
2019-06-13 15:00:00,2019,6,13,15,17.139046,17,22,17.202196,5,0.06315000000000026,98.737
2019-06-13 17:00:00,2019,6,13,17,33.90778,36,48,42.612106,12,8.704325999999995,27.463950000000043
2019-06-14 06:00:00,2019,6,14,6,14.573177,10,8,8.318922,-2,-6.254254999999999,212.71274999999994
2019-06-14 07:00:00,2019,6,14,7,42.51413,38,21,17.094614,-17,-25.419516,49.526564705882365
2019-06-14 08:00:00,2019,6,14,8,71.08133,84,26,31.690222,-58,-39.391107999999996,32.084296551724144
2019-06-14 09:00:00,2019,6,14,9,37.828545,34,27,21.832495,-7,-15.996049999999997,128.51499999999996
2019-06-14 10:00:00,2019,6,14,10,23.67853,24,13,13.352165,-11,-10.326365,6.123954545454553
2019-06-14 11:00:00,2019,6,14,11,15.754854,15,12,12.175545,-3,-3.5793090000000003,19.310300000000012
2019-06-14 13:00:00,2019,6,14,13,16.186138,22,19,16.113157,-3,-0.07298099999999863,97.56730000000005
2019-06-14 15:00:00,2019,6,14,15,38.117252,37,22,32.63607,-15,-5.481182000000004,63.45878666666665
2019-06-14 16:00:00,2019,6,14,16,45.467472,47,39,50.141273,-8,4.673800999999997,158.42251249999998
2019-06-14 17:00:00,2019,6,14,17,57.830833,51,101,75.79748,50,17.966646999999995,64.06670600000001
2019-06-14 20:00:00,2019,6,14,20,26.186373,19,33,23.659054,14,-2.5273189999999985,118.05227857142857
2019-06-14 21:00:00,2019,6,14,21,17.365036,17,18,23.731041,1,6.366005000000001,536.6005000000001
2019-06-14 22:00:00,2019,6,14,22,8.5160675,5,7,8.116628,2,-0.3994394999999997,119.97197499999999
2019-06-15 00:00:00,2019,6,15,0,2.7119005,4,5,4.492548,1,1.7806475000000002,78.06475000000002
2019-06-15 07:00:00,2019,6,15,7,5.745697,7,4,4.822852,-3,-0.9228449999999997,69.23850000000002
2019-06-15 08:00:00,2019,6,15,8,14.579466,17,10,11.270389,-7,-3.3090770000000003,52.72747142857143
2019-06-15 09:00:00,2019,6,15,9,18.458042,26,21,16.596777,-5,-1.8612649999999995,62.7747
2019-06-15 10:00:00,2019,6,15,10,30.205082,26,29,27.015905,3,-3.189177000000001,206.30590000000004
2019-06-15 11:00:00,2019,6,15,11,40.458668,51,37,31.321068,-14,-9.137600000000003,34.73142857142855
2019-06-15 12:00:00,2019,6,15,12,48.62817,60,53,45.285877,-7,-3.342292999999998,52.25295714285717
2019-06-15 14:00:00,2019,6,15,14,44.549717,50,54,46.077194,4,1.5274769999999975,61.81307500000006
2019-06-15 15:00:00,2019,6,15,15,46.815098,46,46,39.789856,0,-7.025241999999999,0.0
2019-06-15 16:00:00,2019,6,15,16,43.192772,53,47,48.88746,-6,5.694687999999999,194.91146666666666
2019-06-15 17:00:00,2019,6,15,17,48.270947,39,52,46.56373,13,-1.707217,113.13243846153847
2019-06-15 18:00:00,2019,6,15,18,30.39194,26,25,43.54094,-1,13.148999999999997,1414.8999999999996
2019-06-15 20:00:00,2019,6,15,20,14.648481,19,27,19.118855,8,4.470374,44.12032500000001
2019-06-16 07:00:00,2019,6,16,7,5.173881,4,4,3.6635184,0,-1.5103625999999997,0.0
2019-06-16 08:00:00,2019,6,16,8,10.152381,10,9,9.691856,-1,-0.4605250000000005,53.94749999999995
2019-06-16 09:00:00,2019,6,16,9,10.068168,10,8,9.09433,-2,-0.9738380000000006,51.30809999999997
2019-06-16 10:00:00,2019,6,16,10,26.782473,31,22,21.097967,-9,-5.684505999999999,36.838822222222234
2019-06-16 11:00:00,2019,6,16,11,36.352047,33,24,29.31972,-9,-7.032326999999999,21.863033333333348
2019-06-16 15:00:00,2019,6,16,15,43.25825,29,32,39.49536,3,-3.7628899999999987,225.42966666666663
2019-06-16 16:00:00,2019,6,16,16,50.16511,35,40,48.2358,5,-1.929310000000001,138.58620000000002
2019-06-16 17:00:00,2019,6,16,17,29.719616,26,23,40.653885,-3,10.934269000000004,464.47563333333346
2019-06-16 18:00:00,2019,6,16,18,27.717726,19,24,29.678253,5,1.9605270000000026,60.78945999999995
2019-06-16 19:00:00,2019,6,16,19,21.218754,16,22,17.482729,6,-3.7360250000000015,162.26708333333335
2019-06-16 20:00:00,2019,6,16,20,9.711287,12,11,14.383331,-1,4.672044,567.2044
2019-06-17 06:00:00,2019,6,17,6,14.7175,16,8,8.066478,-8,-6.651021999999999,16.86222500000001
2019-06-17 07:00:00,2019,6,17,7,30.392899,39,11,15.243969,-28,-15.14893,45.89667857142857
2019-06-17 12:00:00,2019,6,17,12,20.29369,15,12,14.802481,-3,-5.491209000000001,83.04030000000004
2019-06-17 15:00:00,2019,6,17,15,20.392265,18,21,19.831095,3,-0.5611699999999971,118.70566666666657
2019-06-17 16:00:00,2019,6,17,16,23.257265,25,25,26.538725,0,3.281459999999999,0.0
2019-06-17 18:00:00,2019,6,17,18,42.02135,53,75,58.734436,22,16.713086000000004,24.031427272727253
2019-06-17 19:00:00,2019,6,17,19,39.830322,48,57,51.507065,9,11.676742999999995,29.74158888888883
2019-06-17 21:00:00,2019,6,17,21,11.292685,12,17,13.478994,5,2.1863089999999996,56.27382000000001
2019-06-18 06:00:00,2019,6,18,6,14.174435,8,5,7.1615963,-3,-7.0128387000000005,133.76129
2019-06-18 09:00:00,2019,6,18,9,25.669678,18,20,19.55425,2,-6.115428000000001,405.7714000000001
2019-06-18 22:00:00,2019,6,18,22,4.902342,4,6,7.187115,2,2.2847730000000004,14.23865000000002
2019-06-19 05:00:00,2019,6,19,5,8.195782,8,2,2.164304,-6,-6.031478,0.5246333333333315
2019-06-19 06:00:00,2019,6,19,6,20.553822,17,5,7.4642353,-12,-13.0895867,9.079889166666666
2019-06-19 07:00:00,2019,6,19,7,47.36616,47,10,18.78024,-37,-28.58592,22.740756756756753
2019-06-19 08:00:00,2019,6,19,8,77.206795,59,19,30.167257,-40,-47.039538,17.598845
2019-06-19 09:00:00,2019,6,19,9,35.734776,27,18,20.738758,-9,-14.996017999999996,66.62242222222218
2019-06-19 14:00:00,2019,6,19,14,16.999672,13,12,12.906002,-1,-4.0936699999999995,309.36699999999996
2019-06-19 15:00:00,2019,6,19,15,20.194317,26,23,24.681406,-3,4.487088999999997,249.56963333333326
2019-06-19 17:00:00,2019,6,19,17,38.6369,34,35,39.042797,1,0.40589700000000306,59.410299999999694
2019-06-20 08:00:00,2019,6,20,8,50.061535,54,16,19.818018,-38,-30.243517,20.411797368421052
2019-06-20 09:00:00,2019,6,20,9,27.996199,20,23,14.447736,3,-13.548463,551.6154333333333
2019-06-20 12:00:00,2019,6,20,12,9.701476,10,14,8.717091,4,-0.9843849999999996,124.609625
2019-06-20 13:00:00,2019,6,20,13,11.648634,13,8,10.915826,-5,-0.7328080000000003,85.34384
2019-06-20 14:00:00,2019,6,20,14,12.468333,12,18,15.136602,6,2.6682690000000004,55.52885
2019-06-21 12:00:00,2019,6,21,12,15.936675,12,8,14.884374,-4,-1.052301,73.692475
2019-06-21 13:00:00,2019,6,21,13,17.83963,19,15,17.01357,-4,-0.8260599999999982,79.34850000000004
2019-06-21 14:00:00,2019,6,21,14,25.671299,22,21,24.614504,-1,-1.056795000000001,5.679500000000104
2019-06-21 15:00:00,2019,6,21,15,34.27158,38,33,24.802279,-5,-9.469301000000002,89.38602000000003
2019-06-21 16:00:00,2019,6,21,16,42.98044,57,57,42.457623,0,-0.5228170000000034,0.0
2019-06-21 17:00:00,2019,6,21,17,58.218983,52,60,91.5145,8,33.295517,316.19396249999994
2019-06-21 19:00:00,2019,6,21,19,41.21704,33,43,43.834633,10,2.6175929999999994,73.82407
2019-06-21 20:00:00,2019,6,21,20,25.265892,21,20,27.641478,-1,2.3755859999999984,337.55859999999984
2019-06-21 21:00:00,2019,6,21,21,18.29874,13,18,20.978142,5,2.6794019999999996,46.41196000000001
2019-06-22 08:00:00,2019,6,22,8,16.572083,16,14,13.096004,-2,-3.4760789999999986,73.80394999999993
2019-06-22 09:00:00,2019,6,22,9,21.462696,29,15,18.77415,-14,-2.6885460000000023,80.79609999999998
2019-06-22 12:00:00,2019,6,22,12,55.60614,36,34,52.10371,-2,-3.502430000000004,75.1215000000002
2019-06-22 13:00:00,2019,6,22,13,54.160324,36,33,45.30104,-3,-8.859284000000002,195.30946666666676
2019-06-22 14:00:00,2019,6,22,14,42.50519,55,56,45.609016,1,3.103825999999998,210.3825999999998
2019-06-22 16:00:00,2019,6,22,16,52.652885,56,72,59.05762,16,6.404735000000002,59.97040624999998
2019-06-22 20:00:00,2019,6,22,20,17.42072,22,21,25.059847,-1,7.639127000000002,863.9127000000002
2019-06-22 21:00:00,2019,6,22,21,15.7949295,10,20,15.631669,10,-0.1632604999999998,101.632605
2019-06-23 07:00:00,2019,6,23,7,4.597737,4,3,4.17846,-1,-0.4192770000000001,58.072299999999984
2019-06-23 08:00:00,2019,6,23,8,10.335565,6,7,10.2538595,1,-0.08170549999999999,108.17054999999999
2019-06-23 09:00:00,2019,6,23,9,9.751732,8,9,7.9487967,1,-1.8029353000000006,280.29353000000003
2019-06-23 10:00:00,2019,6,23,10,26.89243,32,32,22.11625,0,-4.77618,0.0
2019-06-23 11:00:00,2019,6,23,11,36.93037,50,45,32.337566,-5,-4.592804000000001,8.14391999999998
2019-06-23 13:00:00,2019,6,23,13,41.147114,46,48,38.501648,2,-2.645465999999999,232.27329999999995
2019-06-23 14:00:00,2019,6,23,14,38.101902,57,49,35.413395,-8,-2.6885070000000013,66.39366249999998
2019-06-23 16:00:00,2019,6,23,16,55.36752,36,53,57.76181,17,2.394289999999998,85.9159411764706
2019-06-23 18:00:00,2019,6,23,18,39.14157,37,41,46.144875,4,7.0033049999999974,75.08262499999994
2019-06-23 19:00:00,2019,6,23,19,27.71624,37,32,26.98599,-5,-0.7302499999999981,85.39500000000004
