start,year,month,day,hour,ausleihen_real,ausleihen_predict,rueckgaben_real,rueckgaben_predicted,real_differenz,predicted_differenz,differenz_mape
2019-06-02 11:00:00,2019,6,2,11,37.0,26.947704,41.0,34.740864,-4.0,-7.79316,94.82900000000001
2019-06-02 12:00:00,2019,6,2,12,37.0,33.187054,28.0,34.97076,9.0,-1.7837059999999951,119.8189555555555
2019-06-02 14:00:00,2019,6,2,14,37.0,32.81215,44.0,37.35586,-7.0,-4.543709999999997,35.089857142857184
2019-06-02 16:00:00,2019,6,2,16,56.0,44.793686,60.0,46.2449,-4.0,-1.4512140000000002,63.719649999999994
2019-06-02 17:00:00,2019,6,2,17,40.0,46.075226,26.0,40.391537,14.0,5.683689000000001,59.40222142857142
2019-06-02 18:00:00,2019,6,2,18,32.0,26.084963,29.0,24.724037,3.0,1.3609259999999992,54.635800000000025
2019-06-02 19:00:00,2019,6,2,19,25.0,20.54319,31.0,19.861763,-6.0,0.6814269999999993,111.35711666666666
2019-06-02 20:00:00,2019,6,2,20,16.0,17.853506,11.0,16.234858,5.0,1.6186480000000003,67.62704
2019-06-03 06:00:00,2019,6,3,6,10.0,6.7376394,17.0,11.102706,-7.0,-4.3650666,37.64190571428572
2019-06-03 07:00:00,2019,6,3,7,22.0,15.767182,55.0,27.816484,-33.0,-12.049301999999999,63.48696363636365
2019-06-03 08:00:00,2019,6,3,8,28.0,23.26095,110.0,45.938587,-82.0,-22.677636999999997,72.34434512195122
2019-06-03 09:00:00,2019,6,3,9,28.0,24.647688,36.0,41.652287,-8.0,-17.004599000000002,112.55748750000004
2019-06-03 10:00:00,2019,6,3,10,5.0,18.795202,23.0,27.070768,-18.0,-8.275566000000001,54.02463333333333
2019-06-03 11:00:00,2019,6,3,11,8.0,14.823133,10.0,21.222588,-2.0,-6.399454999999998,219.9727499999999
2019-06-03 12:00:00,2019,6,3,12,9.0,15.358492,16.0,17.492456,-7.0,-2.1339640000000006,69.5148
2019-06-03 13:00:00,2019,6,3,13,21.0,20.400774,21.0,20.569252,0.0,-0.16847800000000035,0.0
