year,month,day,hour,count,subrate
2019,8,25,2,1,1.0
2019,8,25,6,1,1.0
2019,8,25,7,4,1.0
2019,8,25,8,10,0.9
2019,8,25,9,19,0.5789473684210527
2019,8,25,10,28,0.6785714285714286
2019,8,25,11,28,0.5
2019,8,25,12,41,0.5609756097560976
2019,8,25,13,34,0.6764705882352942
2019,8,25,14,65,0.4153846153846154
2019,8,25,15,44,0.4318181818181818
2019,8,25,16,64,0.4375
2019,8,25,17,44,0.5909090909090909
2019,8,25,18,46,0.7391304347826086
2019,8,25,19,29,0.5862068965517241
2019,8,25,20,13,0.38461538461538464
2019,8,25,21,10,0.3
2019,8,25,22,2,0.5
2019,8,25,23,12,0.25
2019,8,26,1,2,0.5
2019,8,26,2,1,1.0
2019,8,26,5,4,0.5
2019,8,26,6,13,1.0
2019,8,26,7,49,0.9795918367346939
2019,8,26,8,70,0.9428571428571428
2019,8,26,9,40,0.8
2019,8,26,10,21,0.7142857142857143
2019,8,26,11,20,0.65
2019,8,26,12,16,0.5
2019,8,26,13,13,0.6153846153846154
2019,8,26,14,14,0.7142857142857143
2019,8,26,15,21,0.6666666666666666
2019,8,26,16,29,0.6551724137931034
2019,8,26,17,59,0.864406779661017
2019,8,26,18,59,0.8813559322033898
2019,8,26,19,50,0.76
2019,8,26,20,20,0.6
2019,8,26,21,5,0.8
2019,8,26,22,7,1.0
2019,8,26,23,1,1.0
2019,8,27,1,1,1.0
2019,8,27,2,2,1.0
2019,8,27,4,1,1.0
2019,8,27,5,6,0.8333333333333334
2019,8,27,6,21,0.9523809523809523
2019,8,27,7,52,1.0
2019,8,27,8,83,0.963855421686747
2019,8,27,9,48,0.8541666666666666
2019,8,27,10,22,0.7272727272727273
2019,8,27,11,13,0.7692307692307693
2019,8,27,12,12,0.75
2019,8,27,13,7,0.7142857142857143
2019,8,27,14,18,0.8333333333333334
2019,8,27,15,27,0.5925925925925926
2019,8,27,16,29,0.7586206896551724
2019,8,27,17,70,0.7142857142857143
2019,8,27,18,58,0.8275862068965517
2019,8,27,19,58,0.6724137931034483
2019,8,27,20,10,0.9
2019,8,27,21,14,0.8571428571428571
2019,8,27,22,3,1.0
2019,8,27,23,7,1.0
2019,8,28,1,1,1.0
2019,8,28,5,3,0.6666666666666666
2019,8,28,6,19,0.8947368421052632
2019,8,28,7,51,0.9803921568627451
2019,8,28,8,75,0.96
2019,8,28,9,58,0.8793103448275862
2019,8,28,10,9,0.8888888888888888
2019,8,28,11,9,0.6666666666666666
2019,8,28,12,12,0.5833333333333334
2019,8,28,13,3,1.0
2019,8,28,14,9,0.7777777777777778
2019,8,28,15,7,0.8571428571428571
2019,8,28,16,17,1.0
2019,8,28,17,41,0.8536585365853658
2019,8,28,18,31,0.8064516129032258
2019,8,28,19,15,0.9333333333333333
2019,8,28,20,7,1.0
2019,8,28,21,7,0.7142857142857143
2019,8,28,22,2,1.0
2019,8,28,23,3,1.0
2019,8,29,0,2,0.0
2019,8,29,2,1,1.0
2019,8,29,4,1,1.0
2019,8,29,5,5,1.0
2019,8,29,6,18,1.0
2019,8,29,7,44,0.9318181818181818
2019,8,29,8,62,0.9516129032258065
2019,8,29,9,46,0.8478260869565217
2019,8,29,10,13,0.6923076923076923
2019,8,29,11,14,0.8571428571428571
2019,8,29,12,15,0.8
2019,8,29,13,25,0.64
2019,8,29,14,18,0.6666666666666666
2019,8,29,15,26,0.7307692307692307
2019,8,29,16,40,0.6
2019,8,29,17,52,0.7884615384615384
2019,8,29,18,60,0.7333333333333333
2019,8,29,19,56,0.6964285714285714
2019,8,29,20,15,0.4666666666666667
2019,8,29,21,8,0.875
2019,8,29,22,8,0.5
2019,8,29,23,1,1.0
2019,8,30,0,1,1.0
2019,8,30,1,1,0.0
2019,8,30,2,1,1.0
2019,8,30,3,1,1.0
2019,8,30,4,1,1.0
2019,8,30,5,3,1.0
2019,8,30,6,8,1.0
2019,8,30,7,36,0.9444444444444444
2019,8,30,8,60,0.7833333333333333
2019,8,30,9,25,0.76
2019,8,30,10,17,0.7647058823529411
2019,8,30,11,16,0.5
2019,8,30,12,26,0.7307692307692307
2019,8,30,13,32,0.53125
2019,8,30,14,26,0.7307692307692307
2019,8,30,15,48,0.4791666666666667
2019,8,30,16,44,0.5909090909090909
2019,8,30,17,51,0.7450980392156863
2019,8,30,18,40,0.775
2019,8,30,19,27,0.7777777777777778
2019,8,30,20,8,0.5
2019,8,30,21,6,0.8333333333333334
2019,8,30,22,10,0.8
2019,8,30,23,7,0.42857142857142855
2019,8,31,0,9,0.1111111111111111
2019,8,31,1,1,1.0
