year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2015,2,1,19,1,1.0,0,6,0
2015,2,1,22,1,1.0,0,6,0
2015,2,2,8,1,1.0,0,0,1
2015,2,2,12,1,1.0,0,0,1
2015,2,2,16,1,1.0,0,0,1
2015,2,2,18,1,1.0,0,0,1
2015,2,2,21,1,1.0,0,0,1
2015,2,3,6,1,1.0,0,1,1
2015,2,3,7,1,1.0,0,1,1
2015,2,3,8,2,1.0,0,1,1
2015,2,3,9,1,1.0,0,1,1
2015,2,3,11,1,1.0,0,1,1
2015,2,3,12,1,1.0,0,1,1
2015,2,3,13,1,1.0,0,1,1
2015,2,3,15,3,1.0,0,1,1
2015,2,3,17,2,1.0,0,1,1
2015,2,3,18,2,1.0,0,1,1
2015,2,3,20,2,1.0,0,1,1
2015,2,3,21,1,1.0,0,1,1
2015,2,3,22,1,1.0,0,1,1
2015,2,4,5,1,1.0,0,2,1
2015,2,4,6,2,1.0,0,2,1
2015,2,4,7,2,1.0,0,2,1
2015,2,4,8,2,1.0,0,2,1
2015,2,4,9,4,1.0,0,2,1
2015,2,4,14,2,1.0,0,2,1
2015,2,4,15,1,1.0,0,2,1
2015,2,4,17,3,1.0,0,2,1
2015,2,4,18,4,1.0,0,2,1
2015,2,4,19,2,1.0,0,2,1
2015,2,4,20,6,1.0,0,2,1
2015,2,4,21,2,1.0,0,2,1
2015,2,4,22,1,1.0,0,2,1
2015,2,5,7,3,1.0,0,3,1
2015,2,5,8,8,1.0,0,3,1
2015,2,5,9,3,1.0,0,3,1
2015,2,5,10,1,1.0,0,3,1
2015,2,5,11,1,1.0,0,3,1
2015,2,5,13,1,1.0,0,3,1
2015,2,5,15,6,1.0,0,3,1
2015,2,5,16,2,1.0,0,3,1
2015,2,5,17,1,1.0,0,3,1
2015,2,5,18,2,1.0,0,3,1
2015,2,5,19,4,1.0,0,3,1
2015,2,5,20,1,1.0,0,3,1
2015,2,5,23,1,1.0,0,3,1
2015,2,6,8,2,1.0,0,4,1
2015,2,6,9,3,1.0,0,4,1
2015,2,6,11,3,1.0,0,4,1
2015,2,6,13,1,1.0,0,4,1
2015,2,6,14,5,1.0,0,4,1
2015,2,6,15,3,1.0,0,4,1
2015,2,6,16,1,1.0,0,4,1
2015,2,6,17,6,1.0,0,4,1
2015,2,6,18,3,1.0,0,4,1
2015,2,6,19,1,1.0,0,4,1
2015,2,6,20,3,1.0,0,4,1
2015,2,6,22,1,1.0,0,4,1
2015,2,7,7,1,1.0,0,5,0
2015,2,7,8,2,1.0,0,5,0
2015,2,7,11,1,1.0,0,5,0
2015,2,7,12,1,1.0,0,5,0
2015,2,7,14,1,1.0,0,5,0
2015,2,7,16,1,1.0,0,5,0
2015,2,7,18,3,1.0,0,5,0
2015,2,7,19,2,1.0,0,5,0
2015,2,8,1,1,1.0,0,6,0
2015,2,8,9,2,1.0,0,6,0
2015,2,8,10,2,1.0,0,6,0
2015,2,8,11,4,1.0,0,6,0
2015,2,8,12,3,1.0,0,6,0
2015,2,8,13,4,1.0,0,6,0
2015,2,8,14,3,1.0,0,6,0
2015,2,8,15,4,1.0,0,6,0
