year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung,abweichungdurchschnitt
2015,6,10,13,10,0.5,0,2,1,24,0.0,58,15,Sunny,2015-06-10 13:00:00,13,11,9,10,10,0.0,9.090909090909092
2015,6,10,17,38,0.8421052631578947,0,2,1,22,0.0,70,13,Sunny,2015-06-10 17:00:00,41,30,11,26,36,5.555555555555555,10.679611650485429
2015,6,10,18,48,0.8125,0,2,1,21,0.0,73,13,Clear,2015-06-10 18:00:00,41,38,30,51,37,17.073170731707318,11.627906976744185
2015,6,11,6,9,1.0,0,3,1,21,0.0,76,14,Sunny,2015-06-11 06:00:00,7,0,0,9,8,12.5,12.5
2015,6,11,7,9,0.8888888888888888,0,3,1,23,0.0,70,16,Sunny,2015-06-11 07:00:00,11,9,0,10,11,18.181818181818183,15.624999999999995
2015,6,11,13,9,0.5555555555555556,0,3,1,29,0.0,57,15,Sunny,2015-06-11 13:00:00,5,3,4,12,8,12.5,7.999999999999992
2015,6,11,14,9,0.8888888888888888,0,3,1,28,0.3,61,17,Patchy rain possible,2015-06-11 14:00:00,9,9,3,13,9,0.0,12.903225806451617
2015,6,11,15,18,0.6666666666666666,0,3,1,28,0.4,65,19,Patchy rain possible,2015-06-11 15:00:00,23,9,9,18,12,0.0,1.886792452830182
2015,6,11,16,20,0.7,0,3,1,27,0.2,69,16,Patchy rain possible,2015-06-11 16:00:00,16,18,9,26,14,25.0,7.142857142857135
2015,6,11,17,37,0.8918918918918919,0,3,1,26,0.4,73,13,Patchy rain possible,2015-06-11 17:00:00,39,20,18,29,26,27.586206896551722,18.085106382978726
2015,6,12,6,3,1.0,0,4,1,22,0.0,74,7,Sunny,2015-06-12 06:00:00,6,1,0,3,4,25.0,30.769230769230766
2015,6,12,7,12,1.0,0,4,1,24,0.0,71,8,Sunny,2015-06-12 07:00:00,11,3,1,13,11,9.090909090909092,2.857142857142862
2015,6,12,10,12,0.9166666666666666,0,4,1,27,0.0,65,11,Sunny,2015-06-12 10:00:00,3,9,27,14,11,9.090909090909092,28.571428571428566
2015,6,12,11,10,0.5,0,4,1,28,0.0,64,12,Sunny,2015-06-12 11:00:00,1,12,9,13,23,23.076923076923077,18.918918918918923
2015,6,12,15,19,0.631578947368421,0,4,1,28,0.0,64,24,Sunny,2015-06-12 15:00:00,19,14,8,21,19,0.0,3.389830508474582
2015,6,12,17,42,0.7857142857142857,0,4,1,26,0.1,73,17,Sunny,2015-06-12 17:00:00,44,32,19,41,31,2.4390243902439024,8.62068965517242
2015,6,12,18,34,0.7352941176470589,0,4,1,25,0.1,78,14,Clear,2015-06-12 18:00:00,29,42,32,41,33,3.0303030303030303,0.9708737864077739
2015,6,12,19,19,0.7368421052631579,0,4,1,24,0.0,79,16,Clear,2015-06-12 19:00:00,21,34,42,32,23,17.391304347826086,24.999999999999996
2015,6,12,20,8,0.875,0,4,1,24,0.3,80,19,Patchy rain possible,2015-06-12 20:00:00,9,19,34,14,11,27.27272727272727,29.411764705882355
2015,6,12,23,2,1.0,0,4,1,23,0.4,85,18,Patchy rain possible,2015-06-12 23:00:00,2,15,4,2,2,0.0,0.0
2015,6,13,8,7,0.5714285714285714,0,5,0,23,0.0,69,18,Sunny,2015-06-13 08:00:00,6,4,5,9,7,0.0,4.545454545454541
2015,6,13,9,9,0.7777777777777778,0,5,0,24,0.0,66,18,Sunny,2015-06-13 09:00:00,7,7,4,11,9,0.0,0.0
2015,6,13,10,14,0.8571428571428571,0,5,0,24,0.0,61,15,Sunny,2015-06-13 10:00:00,4,9,7,16,13,7.6923076923076925,27.27272727272727
