start,year,month,dayofweek,hour,bikeid,day1anzahl,weekday
2017-01-22,2017,1,6,2,4,3.0,0
2017-01-22,2017,1,6,6,3,1.0,0
2017-01-22,2017,1,6,7,2,2.0,0
2017-01-22,2017,1,6,8,3,,0
2017-01-22,2017,1,6,9,4,4.0,0
2017-01-22,2017,1,6,10,3,4.0,0
2017-01-22,2017,1,6,11,5,7.0,0
2017-01-22,2017,1,6,12,6,2.0,0
2017-01-22,2017,1,6,13,11,12.0,0
2017-01-22,2017,1,6,14,9,15.0,0
2017-01-22,2017,1,6,15,8,10.0,0
2017-01-22,2017,1,6,16,2,6.0,0
2017-01-22,2017,1,6,17,4,3.0,0
2017-01-22,2017,1,6,18,5,4.0,0
2017-01-22,2017,1,6,19,5,7.0,0
2017-01-22,2017,1,6,20,1,1.0,0
2017-01-22,2017,1,6,21,3,4.0,0
2017-01-22,2017,1,6,22,6,10.0,0
2017-01-22,2017,1,6,23,1,3.0,0
2017-01-23,2017,1,0,1,2,1.0,1
2017-01-23,2017,1,0,4,3,,1
2017-01-23,2017,1,0,5,3,,1
2017-01-23,2017,1,0,6,28,3.0,1
2017-01-23,2017,1,0,7,14,2.0,1
2017-01-23,2017,1,0,8,16,3.0,1
2017-01-23,2017,1,0,9,14,4.0,1
2017-01-23,2017,1,0,10,3,3.0,1
2017-01-23,2017,1,0,11,2,5.0,1
2017-01-23,2017,1,0,12,2,6.0,1
2017-01-23,2017,1,0,13,6,11.0,1
2017-01-23,2017,1,0,14,4,9.0,1
2017-01-23,2017,1,0,15,5,8.0,1
2017-01-23,2017,1,0,16,3,2.0,1
2017-01-23,2017,1,0,17,2,4.0,1
2017-01-24,2017,1,1,0,1,,1
2017-01-24,2017,1,1,4,1,3.0,1
2017-01-24,2017,1,1,5,5,3.0,1
2017-01-24,2017,1,1,6,14,28.0,1
2017-01-24,2017,1,1,7,10,14.0,1
2017-01-24,2017,1,1,8,10,16.0,1
2017-01-24,2017,1,1,9,4,14.0,1
2017-01-24,2017,1,1,10,2,3.0,1
2017-01-24,2017,1,1,11,1,2.0,1
2017-01-24,2017,1,1,15,1,5.0,1
2017-01-24,2017,1,1,16,2,3.0,1
2017-01-24,2017,1,1,17,7,2.0,1
2017-01-24,2017,1,1,18,10,,1
2017-01-24,2017,1,1,19,9,,1
2017-01-24,2017,1,1,21,1,,1
2017-01-24,2017,1,1,22,1,,1
2017-01-24,2017,1,1,23,1,,1
2017-01-25,2017,1,2,1,1,,1
2017-01-25,2017,1,2,4,3,1.0,1
2017-01-25,2017,1,2,5,6,5.0,1
2017-01-25,2017,1,2,6,32,14.0,1
2017-01-25,2017,1,2,7,14,10.0,1
2017-01-25,2017,1,2,8,19,10.0,1
2017-01-25,2017,1,2,9,11,4.0,1
2017-01-25,2017,1,2,10,6,2.0,1
2017-01-25,2017,1,2,11,7,1.0,1
2017-01-25,2017,1,2,12,5,,1
2017-01-25,2017,1,2,13,8,,1
2017-01-25,2017,1,2,14,3,,1
2017-01-25,2017,1,2,15,7,1.0,1
2017-01-25,2017,1,2,16,10,2.0,1
2017-01-25,2017,1,2,17,6,7.0,1
2017-01-25,2017,1,2,18,20,10.0,1
2017-01-25,2017,1,2,19,18,9.0,1
2017-01-25,2017,1,2,20,3,,1
2017-01-25,2017,1,2,21,6,1.0,1
2017-01-25,2017,1,2,22,5,1.0,1
2017-01-25,2017,1,2,23,2,1.0,1
2017-01-26,2017,1,3,0,3,,1
2017-01-26,2017,1,3,1,2,1.0,1
2017-01-26,2017,1,3,2,1,,1
2017-01-26,2017,1,3,4,2,3.0,1
2017-01-26,2017,1,3,5,7,6.0,1
2017-01-26,2017,1,3,6,41,32.0,1
2017-01-26,2017,1,3,7,36,14.0,1
2017-01-26,2017,1,3,8,15,19.0,1
2017-01-26,2017,1,3,9,4,11.0,1
2017-01-26,2017,1,3,10,5,6.0,1
2017-01-26,2017,1,3,11,4,7.0,1
2017-01-26,2017,1,3,12,4,5.0,1
2017-01-26,2017,1,3,13,4,8.0,1
2017-01-26,2017,1,3,14,3,3.0,1
2017-01-26,2017,1,3,15,6,7.0,1
2017-01-26,2017,1,3,16,4,10.0,1
2017-01-26,2017,1,3,17,7,6.0,1
2017-01-26,2017,1,3,18,12,20.0,1
2017-01-26,2017,1,3,19,17,18.0,1
2017-01-26,2017,1,3,20,5,3.0,1
2017-01-26,2017,1,3,21,4,6.0,1
2017-01-26,2017,1,3,22,4,5.0,1
2017-01-26,2017,1,3,23,2,2.0,1
2017-01-27,2017,1,4,0,1,3.0,1
2017-01-27,2017,1,4,4,2,2.0,1
2017-01-27,2017,1,4,5,4,7.0,1
2017-01-27,2017,1,4,6,39,41.0,1
2017-01-27,2017,1,4,7,32,36.0,1
2017-01-27,2017,1,4,8,15,15.0,1
2017-01-27,2017,1,4,9,13,4.0,1
2017-01-27,2017,1,4,10,5,5.0,1
2017-01-27,2017,1,4,11,6,4.0,1
2017-01-27,2017,1,4,12,9,4.0,1
2017-01-27,2017,1,4,13,5,4.0,1
2017-01-27,2017,1,4,14,6,3.0,1
2017-01-27,2017,1,4,15,8,6.0,1
2017-01-27,2017,1,4,16,7,4.0,1
2017-01-27,2017,1,4,17,16,7.0,1
2017-01-27,2017,1,4,18,11,12.0,1
2017-01-27,2017,1,4,19,7,17.0,1
2017-01-27,2017,1,4,20,3,5.0,1
2017-01-27,2017,1,4,21,5,4.0,1
2017-01-27,2017,1,4,22,6,4.0,1
2017-01-28,2017,1,5,3,1,,0
2017-01-28,2017,1,5,6,2,39.0,0
2017-01-28,2017,1,5,7,2,32.0,0
2017-01-28,2017,1,5,8,2,15.0,0
2017-01-28,2017,1,5,9,1,13.0,0
2017-01-28,2017,1,5,10,6,5.0,0
2017-01-28,2017,1,5,11,7,6.0,0
2017-01-28,2017,1,5,12,6,9.0,0
2017-01-28,2017,1,5,13,5,5.0,0
2017-01-28,2017,1,5,14,8,6.0,0
2017-01-28,2017,1,5,15,6,8.0,0
2017-01-28,2017,1,5,16,6,7.0,0
2017-01-28,2017,1,5,17,10,16.0,0
2017-01-28,2017,1,5,18,9,11.0,0
2017-01-28,2017,1,5,19,1,7.0,0
2017-01-28,2017,1,5,20,5,3.0,0
2017-01-28,2017,1,5,21,3,5.0,0
2017-01-28,2017,1,5,22,2,6.0,0
2017-01-28,2017,1,5,23,1,,0
2017-01-29,2017,1,6,0,1,,0
2017-01-29,2017,1,6,2,1,,0
2017-01-29,2017,1,6,5,1,,0
2017-01-29,2017,1,6,6,1,2.0,0
2017-01-29,2017,1,6,7,1,2.0,0
2017-01-29,2017,1,6,8,1,2.0,0
2017-01-29,2017,1,6,9,4,1.0,0
2017-01-29,2017,1,6,10,2,6.0,0
2017-01-29,2017,1,6,11,3,7.0,0
2017-01-29,2017,1,6,12,3,6.0,0
2017-01-29,2017,1,6,13,5,5.0,0
2017-01-29,2017,1,6,14,8,8.0,0
2017-01-29,2017,1,6,15,9,6.0,0
2017-01-29,2017,1,6,16,5,6.0,0
2017-01-29,2017,1,6,17,15,10.0,0
2017-01-29,2017,1,6,18,3,9.0,0
2017-01-29,2017,1,6,19,7,1.0,0
2017-01-29,2017,1,6,20,3,5.0,0
2017-01-29,2017,1,6,21,4,3.0,0
2017-01-29,2017,1,6,22,2,2.0,0
2017-01-29,2017,1,6,23,4,1.0,0
2017-01-30,2017,1,0,0,1,1.0,1
2017-01-30,2017,1,0,2,2,1.0,1
2017-01-30,2017,1,0,4,3,,1
2017-01-30,2017,1,0,5,6,1.0,1
2017-01-30,2017,1,0,6,48,1.0,1
2017-01-30,2017,1,0,7,23,1.0,1
2017-01-30,2017,1,0,8,17,1.0,1
2017-01-30,2017,1,0,9,11,4.0,1
2017-01-30,2017,1,0,10,5,2.0,1
2017-01-30,2017,1,0,11,7,3.0,1
2017-01-30,2017,1,0,12,6,3.0,1
2017-01-30,2017,1,0,13,5,5.0,1
2017-01-30,2017,1,0,14,7,8.0,1
2017-01-30,2017,1,0,15,5,9.0,1
2017-01-30,2017,1,0,16,7,5.0,1
2017-01-30,2017,1,0,17,6,15.0,1
2017-01-30,2017,1,0,18,15,3.0,1
2017-01-30,2017,1,0,19,12,7.0,1
2017-01-30,2017,1,0,20,6,3.0,1
2017-01-30,2017,1,0,21,1,4.0,1
2017-01-30,2017,1,0,22,3,2.0,1
2017-01-30,2017,1,0,23,3,4.0,1
2017-01-31,2017,1,1,4,2,3.0,1
2017-01-31,2017,1,1,5,6,6.0,1
