start,year,month,dayofweek,hour,bikeid
2017-01-22,2017,1,6,7,2
2017-01-22,2017,1,6,8,3
2017-01-22,2017,1,6,9,4
2017-01-22,2017,1,6,10,3
2017-01-22,2017,1,6,11,5
2017-01-22,2017,1,6,12,6
2017-01-22,2017,1,6,13,11
2017-01-22,2017,1,6,14,9
2017-01-22,2017,1,6,15,8
2017-01-22,2017,1,6,16,2
2017-01-22,2017,1,6,17,4
2017-01-22,2017,1,6,18,5
2017-01-22,2017,1,6,19,5
2017-01-22,2017,1,6,20,1
2017-01-22,2017,1,6,21,3
2017-01-22,2017,1,6,22,6
2017-01-22,2017,1,6,23,1
2017-01-23,2017,1,0,1,2
2017-01-23,2017,1,0,4,3
2017-01-23,2017,1,0,5,3
2017-01-23,2017,1,0,6,28
2017-01-23,2017,1,0,7,14
2017-01-23,2017,1,0,8,16
2017-01-23,2017,1,0,9,14
2017-01-23,2017,1,0,10,3
2017-01-23,2017,1,0,11,2
2017-01-23,2017,1,0,12,2
2017-01-23,2017,1,0,13,6
2017-01-23,2017,1,0,14,4
2017-01-23,2017,1,0,15,5
2017-01-23,2017,1,0,16,3
2017-01-23,2017,1,0,17,2
2017-01-24,2017,1,1,0,1
2017-01-24,2017,1,1,4,1
2017-01-24,2017,1,1,5,5
2017-01-24,2017,1,1,6,14
2017-01-24,2017,1,1,7,10
2017-01-24,2017,1,1,8,10
2017-01-24,2017,1,1,9,4
2017-01-24,2017,1,1,10,2
2017-01-24,2017,1,1,11,1
2017-01-24,2017,1,1,15,1
2017-01-24,2017,1,1,16,2
2017-01-24,2017,1,1,17,7
2017-01-24,2017,1,1,18,10
2017-01-24,2017,1,1,19,9
2017-01-24,2017,1,1,21,1
2017-01-24,2017,1,1,22,1
2017-01-24,2017,1,1,23,1
2017-01-25,2017,1,2,1,1
2017-01-25,2017,1,2,4,3
2017-01-25,2017,1,2,5,6
2017-01-25,2017,1,2,6,32
2017-01-25,2017,1,2,7,14
2017-01-25,2017,1,2,8,19
2017-01-25,2017,1,2,9,11
2017-01-25,2017,1,2,10,6
2017-01-25,2017,1,2,11,7
2017-01-25,2017,1,2,12,5
2017-01-25,2017,1,2,13,8
2017-01-25,2017,1,2,14,3
2017-01-25,2017,1,2,15,7
2017-01-25,2017,1,2,16,10
2017-01-25,2017,1,2,17,6
2017-01-25,2017,1,2,18,20
2017-01-25,2017,1,2,19,18
2017-01-25,2017,1,2,20,3
2017-01-25,2017,1,2,21,6
2017-01-25,2017,1,2,22,5
2017-01-25,2017,1,2,23,2
2017-01-26,2017,1,3,0,3
2017-01-26,2017,1,3,1,2
2017-01-26,2017,1,3,2,1
2017-01-26,2017,1,3,4,2
2017-01-26,2017,1,3,5,7
2017-01-26,2017,1,3,6,41
2017-01-26,2017,1,3,7,36
2017-01-26,2017,1,3,8,15
2017-01-26,2017,1,3,9,4
2017-01-26,2017,1,3,10,5
2017-01-26,2017,1,3,11,4
2017-01-26,2017,1,3,12,4
2017-01-26,2017,1,3,13,4
2017-01-26,2017,1,3,14,3
2017-01-26,2017,1,3,15,6
2017-01-26,2017,1,3,16,4
2017-01-26,2017,1,3,17,7
2017-01-26,2017,1,3,18,12
2017-01-26,2017,1,3,19,17
2017-01-26,2017,1,3,20,5
2017-01-26,2017,1,3,21,4
2017-01-26,2017,1,3,22,4
2017-01-26,2017,1,3,23,2
2017-01-27,2017,1,4,0,1
2017-01-27,2017,1,4,4,2
2017-01-27,2017,1,4,5,4
2017-01-27,2017,1,4,6,39
2017-01-27,2017,1,4,7,32
2017-01-27,2017,1,4,8,15
2017-01-27,2017,1,4,9,13
2017-01-27,2017,1,4,10,5
2017-01-27,2017,1,4,11,6
2017-01-27,2017,1,4,12,9
2017-01-27,2017,1,4,13,5
2017-01-27,2017,1,4,14,6
2017-01-27,2017,1,4,15,8
2017-01-27,2017,1,4,16,7
2017-01-27,2017,1,4,17,16
2017-01-27,2017,1,4,18,11
2017-01-27,2017,1,4,19,7
2017-01-27,2017,1,4,20,3
2017-01-27,2017,1,4,21,5
2017-01-27,2017,1,4,22,6
2017-01-28,2017,1,5,3,1
2017-01-28,2017,1,5,6,2
2017-01-28,2017,1,5,7,2
2017-01-28,2017,1,5,8,2
2017-01-28,2017,1,5,9,1
2017-01-28,2017,1,5,10,6
2017-01-28,2017,1,5,11,7
2017-01-28,2017,1,5,12,6
2017-01-28,2017,1,5,13,5
2017-01-28,2017,1,5,14,8
2017-01-28,2017,1,5,15,6
2017-01-28,2017,1,5,16,6
2017-01-28,2017,1,5,17,10
2017-01-28,2017,1,5,18,9
2017-01-28,2017,1,5,19,1
2017-01-28,2017,1,5,20,5
2017-01-28,2017,1,5,21,3
2017-01-28,2017,1,5,22,2
2017-01-28,2017,1,5,23,1
2017-01-29,2017,1,6,0,1
2017-01-29,2017,1,6,2,1
2017-01-29,2017,1,6,5,1
2017-01-29,2017,1,6,6,1
