year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2017,0.7142857142857143,0,1,31,0.0,53,8,28,18,9,23,35,27,4,1,0,9,12,17.611134,7,-151.5876225062779
2016,0.625,0,1,11,0.0,79,18,13,21,8,6,8,11,9,3,3,5,13,16.008844,8,-100.1105546951294
2018,0.0,0,1,6,0.0,66,20,10,4,11,10,16,30,25,1,0,4,23,2.341185,1,-134.11850929260254
2016,0.3333333333333333,0,1,12,0.1,91,3,15,13,18,51,36,7,17,3,0,5,21,11.872847,3,-295.7615534464518
2018,1.0,0,1,28,6.4,69,11,5,3,15,20,38,56,95,4,3,8,0,2.1038399,1,-110.38398742675781
2018,0.8,0,1,11,0.0,45,21,12,9,19,26,12,5,1,1,1,10,11,10.346801,5,-106.93601608276366
2016,0.0,0,1,24,0.3,78,5,0,0,2,4,1,7,22,3,3,8,3,2.1671093,1,-116.71092510223389
2015,0.4761904761904761,0,0,28,0.0,46,2,41,35,32,21,11,3,2,1,5,8,13,48.772045,21,-132.2478339785621
2018,1.0,0,1,21,1.1,82,15,2,3,6,19,18,40,76,3,3,6,0,2.2562814,1,-125.62813758850098
2016,0.625,0,0,26,5.2,81,16,29,6,8,16,11,2,1,4,6,7,12,24.849428,8,-210.61785221099854
2016,1.0,0,1,2,0.0,80,26,5,1,5,10,16,9,9,1,3,12,21,2.1744998,1,-117.44997501373291
2015,1.0,0,1,-8,0.0,78,14,3,1,0,3,2,2,4,1,1,2,14,3.0285842,1,-202.85842418670654
2016,1.0,0,1,-1,0.1,72,23,1,2,7,17,10,5,4,3,0,1,21,2.0745406,1,-107.45406150817871
2016,1.0,0,1,2,0.4,72,21,2,3,3,3,4,2,2,4,4,3,12,2.7553494,1,-175.53493976593018
2015,0.6666666666666666,0,0,14,0.1,87,17,5,7,12,7,12,13,8,3,6,12,17,12.742227,6,-112.37044334411621
2016,0.4444444444444444,0,0,14,0.3,86,17,22,22,56,55,49,27,52,3,5,5,19,20.633272,9,-129.25857967800565
2016,1.0,0,1,4,1.0,83,22,3,0,1,12,11,9,1,3,1,2,12,2.398536,1,-139.8535966873169
2016,1.0,0,1,-5,0.0,54,27,3,5,4,16,8,4,5,1,2,1,21,2.0157127,1,-101.57127380371094
2016,0.5,0,1,12,0.0,55,12,28,12,7,16,23,17,5,1,0,10,12,17.320307,8,-116.50383472442627
2015,1.0,0,1,-5,0.0,47,23,3,4,10,10,3,8,2,1,0,1,20,2.0500047,1,-105.00047206878662
2018,1.0,0,1,10,0.1,46,38,3,5,1,1,3,3,9,1,2,4,15,8.556978,2,-327.8489112854004
2017,1.0,0,1,-1,0.0,44,25,10,8,20,7,14,5,2,1,4,11,19,6.2087636,3,-106.95878664652507
2017,1.0,0,1,1,0.5,75,13,1,0,3,7,12,11,1,4,1,1,12,2.9079697,1,-190.79697132110596
2017,1.0,0,1,8,0.0,45,24,17,10,6,6,9,19,12,2,0,11,13,6.0601897,3,-102.00632413228352
2018,1.0,0,0,8,0.0,55,21,4,10,15,27,26,46,21,1,5,3,20,4.0160866,2,-100.80432891845703
2017,0.6190476190476191,0,1,18,0.3,79,12,48,51,44,57,29,28,21,3,4,5,18,48.752304,21,-132.15382893880206
2018,1.0,0,1,10,6.0,92,26,1,1,1,2,3,4,5,4,0,11,17,4.7974734,2,-139.87367153167725
2015,0.0,0,1,20,0.0,60,11,7,3,3,8,17,27,28,1,3,7,2,3.905245,1,-290.5245065689087
2017,0.75,0,1,23,1.0,76,7,7,7,27,60,69,65,23,4,3,9,22,9.373019,4,-134.3254804611206
2015,1.0,0,0,7,0.0,81,19,13,9,6,4,7,4,2,1,5,3,16,3.9161518,1,-291.6151762008667
2016,0.75,0,1,24,0.0,79,12,27,29,26,31,49,50,17,1,1,7,22,18.897419,8,-136.21773719787598
2016,1.0,0,1,10,0.0,95,19,7,9,11,26,13,20,2,2,4,5,20,5.0576525,2,-152.88262367248535
2015,0.5,0,0,2,0.0,68,16,10,2,1,8,8,6,14,1,6,12,20,4.5973797,2,-129.8689842224121
2018,1.0,0,1,1,0.0,53,12,5,5,1,5,13,11,9,2,4,2,13,4.349652,1,-334.965181350708
2015,1.0,0,1,-7,0.0,58,37,1,1,1,1,2,1,2,4,2,1,15,2.0684211,1,-106.84211254119873
