year,month,day,count
2016.0,9.0,30.0,522
2016.0,10.0,1.0,389
2016.0,10.0,2.0,565
2016.0,10.0,3.0,351
2016.0,10.0,4.0,396
2016.0,10.0,5.0,509
2016.0,10.0,6.0,524
2016.0,10.0,7.0,533
2016.0,10.0,8.0,362
2016.0,10.0,9.0,472
2016.0,10.0,10.0,499
2016.0,10.0,11.0,557
2016.0,10.0,12.0,463
2016.0,10.0,13.0,457
2016.0,10.0,14.0,370
2016.0,10.0,15.0,117
2016.0,10.0,16.0,269
2016.0,10.0,17.0,325
2016.0,10.0,18.0,473
2016.0,10.0,19.0,424
2016.0,10.0,20.0,520
2016.0,10.0,21.0,472
2016.0,10.0,22.0,376
2016.0,10.0,23.0,261
2016.0,10.0,24.0,208
2016.0,10.0,25.0,105
2016.0,10.0,26.0,415
2016.0,10.0,27.0,453
2016.0,10.0,28.0,409
2016.0,10.0,29.0,331
2016.0,10.0,30.0,394
2016.0,10.0,31.0,293
2016.0,11.0,1.0,377
2016.0,11.0,2.0,609
2016.0,11.0,3.0,578
2016.0,11.0,4.0,491
2016.0,11.0,5.0,453
2016.0,11.0,6.0,477
2016.0,11.0,7.0,282
2016.0,11.0,8.0,103
2016.0,11.0,9.0,261
2016.0,11.0,10.0,437
2016.0,11.0,11.0,363
2016.0,11.0,12.0,325
2016.0,11.0,13.0,130
2016.0,11.0,14.0,302
2016.0,11.0,15.0,138
2016.0,11.0,16.0,232
2016.0,11.0,17.0,481
2016.0,11.0,18.0,461
2016.0,11.0,19.0,422
2016.0,11.0,20.0,297
2016.0,11.0,21.0,399
2016.0,11.0,22.0,369
2016.0,11.0,23.0,324
2016.0,11.0,24.0,142
2016.0,11.0,25.0,274
2016.0,11.0,26.0,276
2016.0,11.0,27.0,280
2016.0,11.0,28.0,169
2016.0,11.0,29.0,200
2016.0,11.0,30.0,225
2016.0,12.0,1.0,198
2016.0,12.0,2.0,226
2016.0,12.0,3.0,186
2016.0,12.0,4.0,85
2016.0,12.0,5.0,236
2016.0,12.0,6.0,233
2016.0,12.0,7.0,295
2016.0,12.0,8.0,233
2016.0,12.0,9.0,284
2016.0,12.0,10.0,84
2016.0,12.0,11.0,82
2016.0,12.0,12.0,157
2016.0,12.0,13.0,152
2016.0,12.0,14.0,74
2016.0,12.0,15.0,101
2016.0,12.0,16.0,120
2016.0,12.0,17.0,43
2016.0,12.0,18.0,129
2016.0,12.0,19.0,224
2016.0,12.0,20.0,150
2016.0,12.0,21.0,70
2016.0,12.0,22.0,251
2016.0,12.0,23.0,226
2016.0,12.0,24.0,140
2016.0,12.0,25.0,50
2016.0,12.0,26.0,102
2016.0,12.0,27.0,147
2016.0,12.0,28.0,127
2016.0,12.0,29.0,76
2016.0,12.0,30.0,154
2016.0,12.0,31.0,160
2017.0,1.0,1.0,97
2017.0,1.0,2.0,96
2017.0,1.0,3.0,83
2017.0,1.0,4.0,66
2017.0,1.0,5.0,111
2017.0,1.0,6.0,128
2017.0,1.0,7.0,68
2017.0,1.0,8.0,97
2017.0,1.0,9.0,133
2017.0,1.0,10.0,84
2017.0,1.0,11.0,67
