year,sub,holidays,workday,tempC,precipMM,humidity,windspeedKmph,weekday,hour,weatherDesc2,month,predict,count,differenz_prozent
2015,rate,0,1,-2,0.0,40,11,2,9,Cloudy,1,,,
2015,rate,0,1,-1,0.0,37,9,2,10,Cloudy,1,,,
2015,rate,0,1,0,0.0,35,7,2,11,Overcast,1,,,
2015,rate,0,1,1,0.0,33,5,2,12,Overcast,1,,,
2015,rate,0,1,1,0.0,35,4,2,13,Overcast,1,,,
2015,rate,0,1,1,0.0,36,3,2,14,Cloudy,1,,,
2015,rate,0,1,1,0.0,38,2,2,15,Cloudy,1,,,
2015,rate,0,1,1,0.0,41,2,2,16,Cloudy,1,,,
2015,rate,0,1,0,0.0,45,2,2,17,Light snow,1,,,
2015,rate,0,1,0,0.0,48,3,2,18,Light snow,1,,,
2015,rate,0,1,0,0.0,53,4,2,19,Light snow,1,,,
2015,rate,0,1,-1,0.1,58,6,2,20,Moderate snow,1,,,
2015,rate,0,1,-1,0.1,62,8,2,21,Moderate snow,1,,,
2015,rate,0,1,-1,0.0,66,7,2,22,Moderate snow,1,,,
2015,rate,0,1,-1,0.0,62,6,3,5,Cloudy,1,,,
2015,rate,0,1,-1,0.0,62,5,3,6,Cloudy,1,,,
2015,rate,0,1,-1,0.0,62,8,3,7,Cloudy,1,,,
2015,rate,0,1,0,0.0,63,10,3,8,Overcast,1,,,
2015,rate,0,1,0,0.0,64,12,3,9,Overcast,1,,,
2015,rate,0,1,1,0.0,64,12,3,10,Overcast,1,,,
2015,rate,0,1,2,0.0,64,12,3,11,Partly cloudy,1,,,
2015,rate,0,1,3,0.0,65,13,3,12,Partly cloudy,1,,,
2015,rate,0,1,3,0.0,66,12,3,13,Partly cloudy,1,,,
2015,rate,0,1,3,0.0,67,11,3,14,Cloudy,1,,,
2015,rate,0,1,3,0.0,68,10,3,15,Cloudy,1,,,
2015,rate,0,1,2,0.0,70,12,3,16,Cloudy,1,,,
2015,rate,0,1,1,0.0,72,14,3,17,Sunny,1,,,
2015,rate,0,1,0,0.0,74,16,3,18,Clear,1,,,
2015,rate,0,1,0,0.0,73,18,3,19,Clear,1,,,
2015,rate,0,1,-1,0.0,73,20,3,20,Clear,1,,,
2015,rate,0,1,-1,0.0,72,23,3,21,Clear,1,,,
2015,rate,0,1,-1,0.0,70,18,3,23,Clear,1,,,
2015,rate,0,1,0,0.0,72,10,4,5,Clear,1,,,
2015,rate,0,1,-1,0.0,73,9,4,6,Sunny,1,,,
2015,rate,0,1,0,0.0,67,9,4,7,Sunny,1,,,
2015,rate,0,1,0,0.0,61,10,4,8,Sunny,1,,,
2015,rate,0,1,1,0.0,56,10,4,9,Sunny,1,,,
2015,rate,0,1,2,0.0,54,10,4,10,Sunny,1,,,
2015,rate,0,1,3,0.0,52,11,4,11,Sunny,1,,,
2015,rate,0,1,3,0.0,50,11,4,12,Sunny,1,,,
2015,rate,0,1,3,0.0,56,13,4,13,Sunny,1,,,
2015,rate,0,1,3,0.0,62,15,4,14,Sunny,1,,,
2015,rate,0,1,2,0.0,67,18,4,15,Sunny,1,,,
2015,rate,0,1,2,0.0,72,16,4,16,Sunny,1,,,
2015,rate,0,1,1,0.0,77,14,4,17,Overcast,1,,,
2015,rate,0,1,1,0.0,81,12,4,18,Overcast,1,,,
2015,rate,0,1,1,0.0,81,12,4,19,Overcast,1,,,
2015,rate,0,1,1,0.0,81,12,4,20,Cloudy,1,,,
